pub_date	title	category	venue	excerpt	authors	citation	url_slug	paper_url
2023-03-02	Smartphone Global Positioning System–Based System to Assess Mobility in Health Research: Development, Accuracy, and Usability Study	manuscripts	JMIR Rehabilitation and Assistive Technologies	As global positioning system (GPS) measurement is getting more precise and affordable, health researchers can now objectively measure mobility using GPS sensors. Available systems, however, often lack data security and means of adaptation and often rely on a permanent internet connection. To overcome these issues, we aimed to develop and test an easy-to-use, easy-to-adapt, and offline working app using smartphone sensors (GPS and accelerometry) for the quantification of mobility parameters. An Android app, a server backend, and a specialized analysis pipeline have been developed (development substudy). Parameters of mobility by the study team members were extracted from the recorded GPS data using existing and newly developed algorithms. Test measurements were performed with participants to complete accuracy and reliability tests (accuracy substudy). Usability was examined by interviewing community-dwelling older adults after 1 week of device use, followed by an iterative app design process (usability substudy). The study protocol and the software toolchain worked reliably and accurately, even under suboptimal conditions, such as narrow streets and rural areas. The developed algorithms had high accuracy (97.4% correctness, F1-score=0.975) in distinguishing dwelling periods from moving intervals. The accuracy of the stop/trip classification is fundamental to second-order analyses such as the time out of home, as they rely on a precise discrimination between the 2 classes. The usability of the app and the study protocol was piloted with older adults, which showed low barriers and easy implementation into daily routines. Based on accuracy analyses and users’ experience with the proposed system for GPS assessments, the developed algorithm showed great potential for app-based estimation of mobility in diverse health research contexts, including mobility patterns of community-dwelling older adults living in rural areas.	Spang. R. P., Haeger, C., Mümken, S.A., Brauer, M., Voigt-Antons, J.-N., & Gellert, P.	Spang. R. P., Haeger, C., Mümken, S.A., Brauer, M., Voigt-Antons, J.-N., & Gellert, P. (2023). Smartphone Global Positioning System–Based System to Assess Mobility in Health Research: Development, Accuracy, and Usability Study. JMIR Rehabilitation and Assistive Technologies. 10:e42258. https://doi.org/10.2196/42258 	J25	https://doi.org/10.2196/42258
2023-01-05	Real-time affect detection in virtual reality: a technique based on a three-dimensional model of affect and EEG signals	manuscripts	Front. Virtual Real.	This manuscript explores the development of a technique for detecting the affective states of Virtual Reality (VR) users in real-time. The technique was tested with data from an experiment where 18 participants observed 16 videos with emotional content inside a VR home theater, while their electroencephalography (EEG) signals were recorded. Participants evaluated their affective response toward the videos in terms of a three-dimensional model of affect. Two variants of the technique were analyzed. The difference between both variants was the method used for feature selection. In the first variant, features extracted from the EEG signals were selected using Linear Mixed-Effects (LME) models. In the second variant, features were selected using Recursive Feature Elimination with Cross Validation (RFECV). Random forest was used in both variants to build the classification models. Accuracy, precision, recall and F1 scores were obtained by cross-validation. An ANOVA was conducted to compare the accuracy of the models built in each variant. The results indicate that the feature selection method does not have a significant effect on the accuracy of the classification models. Therefore, both variations (LME and RFECV) seem equally reliable for detecting affective states of VR users. The mean accuracy of the classification models was between 87% and 93%.	Pinilla, A., Voigt-Antons, J.-N., Garcia, J. A., Raffe, W. & Möller, S.	Pinilla, A., Voigt-Antons, J.-N., Garcia, J. A., Raffe, W. & Möller, S. (2023). Real-time affect detection in virtual reality: a technique based on a three-dimensional model of affect and EEG signals. Front. Virtual Real. 3:964754. https://doi.org/10.3389/frvir.2022.964754  	J24	https://doi.org/10.3389/frvir.2022.964754
2021-06-29	A tablet-based intervention for activating nursing home residents with dementia: results from a cluster-randomized controlled trial	manuscripts	International psychogeriatrics	To investigate global and momentary effects of a tablet-based non-pharmacological intervention for nursing home residents living with dementia. Cluster-randomized controlled trial. Ten nursing homes in Germany were randomly allocated to the tablet-based intervention (TBI, 5 units) or conventional activity sessions (CAS, 5 units). N = 162 residents with dementia. Participants received regular TBI (n = 80) with stimulating activities developed to engage people with dementia or CAS (n = 82) for 8 weeks. Apathy Evaluation Scale (AES-I, primary outcome), Quality of Life in Alzheimer’s Disease scale, QUALIDEM scale, Neuropsychiatric Inventory, Geriatric Depression Scale, and psychotropic medication (secondary outcomes). Momentary quality of life was assessed before and after each activity session. Participants and staff were blinded until the collection of baseline data was completed. Data were analyzed with linear mixed-effects models. Levels of apathy decreased slightly in both groups (mean decrease in AES-I of .61 points, 95% CI −3.54, 2.33 for TBI and .36 points, 95% CI −3.27, 2.55 for CAS). Group difference in change of apathy was not statistically significant (β = .25; 95% CI 3.89, 4.38, p = .91). This corresponds to a standardized effect size (Cohen’s d) of .02. A reduction of psychotropic medication was found for TBI compared to CAS. Further analyses revealed a post-intervention improvement in QUALIDEM scores across both groups and short-term improvements of momentary quality of life in the CAS group. Our findings suggest that interventions involving tailored activities have a beneficial impact on global and momentary quality of life in nursing home residents with dementia. Although we found no clear advantage of TBI compared to CAS, tablet computers can support delivery of non-pharmacological interventions in nursing homes and facilitate regular assessments of fluctuating momentary states.	O'Sullivan, J. L., Lech, S., Gellert, P., Grittner, U., Voigt-Antons, J.-N., Möller, S., Kuhlmey, A., & Nordheim, J.	O'Sullivan, J. L., Lech, S., Gellert, P., Grittner, U., Voigt-Antons, J.-N., Möller, S., Kuhlmey, A., & Nordheim, J. (2022). A tablet-based intervention for activating nursing home residents with dementia: results from a cluster-randomized controlled trial. International psychogeriatrics, 34(2), 129–141. https://doi.org/10.1017/S1041610221000818	J23	https://doi.org/10.1017/S1041610221000818
2021-12-18	Dementia care and the role of guideline adherence in primary care: cross-sectional findings from the DemTab study	manuscripts	BMC Geriatr	General practitioners (GPs) play a key role in the care of people with dementia (PwD). However, the role of the German Dementia Guideline in primary care remains unclear. The main objective of the present study was to examine the role of guideline-based dementia care in general practices. A cross-sectional analysis of data obtained from the DemTab study was conducted. Descriptive analyses of sociodemographic and clinical characteristics for GPs (N=28) and PwD (N=91) were conducted. Adherence to the German Dementia Guideline of GPs was measured at the level of PwD. Linear Mixed Models were used to analyze the associations between adherence to the German Dementia Guideline and GP factors at individual (age, years of experience as a GP, frequency of utilization of guideline, perceived usefulness of guideline) and structural (type of practice, total number of patients seen by a participating GP, and total number of PwD seen by a participating GP) levels as well as between adherence to the German Dementia Guideline and PwD’s quality of life. Self-reported overall adherence of GPs was on average 71% (SD=19.4, range: 25–100). Adherence to specific recommendations varied widely (from 19.2 to 95.3%) and the majority of GPs (79.1%) reported the guideline as only partially or somewhat helpful. Further, we found lower adherence to be significantly associated with higher numbers of patients (γ10=−.58, CI=−10.97, −0.19, =.04). No association between adherence to the guideline and PwD’s quality of life was found (γ10=−.86, CI=−4.18, 2.47, p=.61). The present study examined the role of adherence to the German Dementia Guideline recommendations in primary care. Overall, GPs reported high levels of adherence. However, major differences across guideline recommendations were found. Findings highlight the importance of guidelines for the provision of care. Dementia guidelines for GPs need to be better tailored and addressed. Further, structural changes such as more time for PwD may contribute to a sustainable change of dementia care in primary care.	Lech, S., O’Sullivan, J.L., Drewelies, J., Herrmann, W., Spang, R., Voigt-Antons, J.-N., Nordheim, J., & Gellert, P.	Lech, S., O’Sullivan, J.L., Drewelies, J., Herrmann, W., Spang, R., Voigt-Antons, J.-N., Nordheim, J., & Gellert, P. (2021). Dementia care and the role of guideline adherence in primary care: cross-sectional findings from the DemTab study. BMC Geriatr, 21, 717. https://doi.org/10.1186/s12877-021-02650-8	J22	https://doi.org/10.1186/s12877-021-02650-8
2021-11-01	Working with environmental noise and noise-cancellation: A workload assessment with EEG and subjective measures	manuscripts	Front. Neurosci.	As working and learning environments become open and flexible, people are also potentially surrounded by ambient noise, which causes an increase in mental workload. The present study uses electroencephalogram (EEG) and subjective measures to investigate if noise-canceling technologies can fade out external distractions and free up mental resources. Therefore, participants had to solve spoken arithmetic tasks that were read out via headphones in three sound environments: a quiet environment (no noise), a noisy environment (noise), and a noisy environment but with active noise-canceling headphones (noise-canceling). Our results of brain activity partially confirm an assumed lower mental load in no noise and noise-canceling compared to noise test condition. The mean P300 activation at Cz resulted in a significant differentiation between the no noise and the other two test conditions. Subjective data indicate an improved situation for the participants when using the noise-canceling technology compared to “normal” headphones but shows no significant discrimination. The present results provide a foundation for further investigations into the relationship between noise-canceling technology and mental workload. Additionally, we give recommendations for an adaptation of the test design for future studies.	Pieper, K., Spang, R. P., Prietz, P., Möller, S., Paajanen, E., Vaalgamaa, M. & Voigt-Antons, J.-N.	Pieper, K., Spang, R. P., Prietz, P., Möller, S., Paajanen, E., Vaalgamaa, M. & Voigt-Antons, J.-N. (2021). Working with environmental noise and noise-cancellation: A workload assessment with EEG and subjective measures. Front. Neurosci. 15:771533. https://doi.org/10.3389/fnins.2021.771533	J21	https://doi.org/10.3389/fnins.2021.771533
2021-08-01	Emotion visualization in Virtual Reality: An integrative review.	manuscripts	Front. Virtual Real.	A cluster of research in Affective Computing suggests that it is possible to infer some characteristics of users’ affective states by analyzing their electrophysiological activity in real-time. However, it is not clear how to use the information extracted from electrophysiological signals to create visual representations of the affective states of Virtual Reality (VR) users. Visualization of users’ affective states in VR can lead to biofeedback therapies for mental health care. Understanding how to visualize affective states in VR requires an interdisciplinary approach that integrates psychology, electrophysiology, and audio-visual design. Therefore, this review aims to integrate previous studies from these fields to understand how to develop virtual environments that can automatically create visual representations of users’ affective states. The manuscript addresses this challenge in four sections: First, theories related to emotion and affect are summarized. Second, evidence suggesting that visual and sound cues tend to be associated with affective states are discussed. Third, some of the available methods for assessing affect are described. The fourth and final section contains five practical considerations for the development of virtual reality environments for affect visualization.	Pinilla, A., Garcia, J. A., Raffe, W., Voigt-Antons, J.-N., Spang, R. & Möller, S.	Pinilla, A., Garcia, J. A., Raffe, W., Voigt-Antons, J.-N., Spang, R. & Möller, S. (2021). Emotion visualization in Virtual Reality: An integrative review. Front. Virtual Real. 2:630731. https://doi.org/10.3389/frvir.2021.630731	J20	https://doi.org/10.3389/frvir.2021.630731
2021-04-01	User-specific touch interfaces: a viable solution for an aging society?	manuscripts	Behaviour & Information Technology	Touch interaction has established a dominating role in the realisation of Human–Machine Interfaces. However, to be able to use touch effectively and efficiently, users have to comply with particular prerequisites. Due to age-related changes, such as the decline of tactile accuracy and speed, especially elderly users often struggle with the touch modality. Interfaces that adapt to specific user characteristics could be a promising solution to overcome this problem. Notwithstanding the advantages of adaptive systems, perceived changes in the user interface can reduce the system's predictability and transparency. The present study compares three approaches concerning the adaptation of touch button sizes: no adaptation and adaptation with visible and invisible feedback. Results show that especially elderly users substantially benefit from an adaptive approach. Furthermore, data shows that the type of adaptation supports different usage goals. While adaption with visual feedback enables a higher interaction speed, invisible adaptation leads to a higher degree of accuracy.	Shahal, A., Spang, R., Minge, M., Trahms, C. & Voigt-Antons, J.-N.	Shahal, A., Spang, R., Minge, M., Trahms, C. & Voigt-Antons, J.-N. (2021). User-Specific Touch Interfaces: A Viable Solution for an Aging Society?, Behaviour & Information Technology, https://doi.org/10.1080/0144929X.2021.1906322	J19	https://doi.org/10.1080/0144929X.2021.1906322
2020-08-20	Estimation of the Quality of Experience During Video Streaming From Facial Expression and Gaze Direction	manuscripts	IEEE Transactions on Network and Service Managment	This article investigates the possibility to estimate the perceived Quality of Experience (QoE) automatically and unobtrusively by analyzing the face of the consumer of video streaming services, from which facial expression and gaze direction are extracted. If effective, this would be a valuable tool for the monitoring of personal QoE during video streaming services without asking the user to provide feedback, with great advantages for service management. Additionally, this would eliminate the bias of subjective tests and would avoid bothering the viewers with questions to collect opinions and feedback. The performed analysis relies on two different experiments: i) a crowdsourcing test, where the videos are subject to impairments caused by long initial delays and re-buffering events; ii) a laboratory test, where the videos are affected by blurring effects. The facial Action Units (AU) that represent the contractions of specific facial muscles together with the position of the eyes' pupils are extracted to identify the correlation between perceived quality and facial expressions. An SVM with a quadratic kernel and a k-NN classifier have been tested to predict the QoE from these features. These have also been combined with measured application-level parameters to improve the quality prediction. From the performed experiments, it results that the best performance is obtained with the k-NN classifier by combining all the described features and after training it with both the datasets, with a prediction accuracy as high as 93.9% outperforming the state of the art achievements.	Porcu, S., Floris, A., Voigt-Antons, J.-N., Atzori, L. & Möller, S.	Porcu, S., Floris, A., Voigt-Antons, J.-N., Atzori, L. & Möller, S. Estimation of the Quality of Experience During Video Streaming From Facial Expression and Gaze Direction. IEEE Transactions on Network and Service Management, vol. 17, no. 4, pp. 2702-2716. https://doi.org/10.1109/TNSM.2020.3018303	J18	https://doi.org/10.1109/TNSM.2020.3018303
2020-01-18	Quality of life in people with dementia living in nursing homes: validation of an eight-item version of the QUALIDEM for intensive longitudinal assessment	manuscripts	Qual Life Res	We found that momentary quality of life, reliably assessed by tablet, was associated with comprehensive measures of quality of life and depressive symptoms in people with dementia. Broader use of tablet-based assessments within frequent QoL measurements may enhance time management of nursing staff and may improve the care quality and communication between staff and people with dementia	Junge, S., Gellert, P., O’Sullivan, J.L., Möller, S., Voigt-Antons, J.-N., Kuhlmey, A. & Nordheim, J.	Junge, S., Gellert, P., O’Sullivan, J.L., Möller, S., Voigt-Antons, J.-N., Kuhlmey, A. & Nordheim, J. (2020). Quality of life in people with dementia living in nursing homes: validation of an eight-item version of the QUALIDEM for intensive longitudinal assessment. Qual Life Res 29, 1721–1730. https://doi.org/10.1007/s11136-020-02418-4	J17	https://doi.org/10.1007/s11136-020-02418-4
2019-11-05	Finding critical features for predicting quality of life in tablet-based serious games for dementia	manuscripts	Quality and User Experience	While the number of dementia cases is steadily increasing, as of today no medication has been developed to cure its underlying causes. Instead, the focus in treatment has shifted to improve quality of life (QoL) for people with dementia (PwD). To this end, some non-pharmacological treatments such as exercising, socializing, and playing games have received increasing attention. PflegeTab is a tablet-based application developed for this purpose. It includes a number of services such as cognitive training games, everyday activity training games, emotional applications, and a biographical picture album. In the present paper, we explore the possibility of QoL prediction for PwD using data collected while nursing home residents played games in PflegeTab (N=81). Using features generated from the data and applying linear discriminant analysis for classification, our approach obtained an average accuracy of 74.80% on predicting QoL ratings when measured by Monte Carlo cross-validation. Furthermore, this paper investigates which features were dominant for the classification (prominent features were e.g. time needed for task completion) and briefly discusses how the results might be utilized for managing general QoL of PwD.	Cha, J., Voigt-Antons, J.-N., Trahms, C., O’Sullivan, J., Gellert, P., Kuhlmey, A., Möller, S. & Nordheim, J.	Cha, J., Voigt-Antons, J.-N., Trahms, C., O’Sullivan, J., Gellert, P., Kuhlmey, A., Möller, S. & Nordheim, J. (2019). Finding critical features for predicting quality of life in tablet-based serious games for dementia. Quality and User Experience, 1-13, https://doi.org/10.1007/s41233-019-0028-2	J16	https://doi.org/10.1007/s41233-019-0028-2
2019-10-30	Questionnaires embedded in virtual environments: reliability and positioning of rating scales in virtual environments	manuscripts	Quality and User Experience	Current developments in virtual reality (VR) hardware have made immersive VR experiences more affordable through commercially available head-mounted displays. As more studies are likely to be conducted using these devices, the question arises how to embed questionnaires in virtual environments without impairing the immersive user experience. In this work we investigate two different aspects: (1) if a rating performed in a virtual environment is comparable to a rating obtained via a paper questionnaire and (2) how questionnaires for assessing virtual experiences should be designed and integrated into the virtual environment. For this research, we used our own extended version of VRate—a VR questionnaire asset for Unity. In the first study with 27 participants, we compared ratings assessed within VR with ratings obtained using a paper questionnaire. We found that the ratings gathered in VR are comparable to the ratings gathered in the real world by paper–pencil questionnaires (subscales: global presence, spatial presence, and experience realism). In the second study with 48 participants, we investigated the users’ perceived suitability of the VR questionnaire and the optimal mounting position of the questionnaire (hand-mounted, head-up display or billboard). Moreover, we investigated whether the questionnaire should be answered in the same or in a separate dedicated virtual environment and how the users’ feeling of presence in VR is influenced by this placement. Results indicate a subjective preference for the billboard position, with a significant preference for billboard over hand-mounted and no significant preference between billboard and head-up-display. Regarding the placement of the VR questionnaire (in-scene vs. dedicated virtual environment) we did not find any influence on presence. In the following, we discuss the pros and cons of different placement/mounting options and provide suggestions for designing and implementing questionnaires embedded in virtual environments.	Regal, G., Voigt-Antons, J.-N., Schmidt, S., Schrammel, J., Kojić, T., Tscheligi, M. & Möller, S.	Regal, G., Voigt-Antons, J.-N., Schmidt, S., Schrammel, J., Kojić, T., Tscheligi, M. & Möller, S. (2019). Questionnaires Embedded in Virtual Environments: Reliability and positioning of rating scales in Virtual Environments. Quality and User Experience, 1-13, https://doi.org/10.1007/s41233-019-0029-1	J15	https://doi.org/10.1007/s41233-019-0029-1
2019-08-22	Tablet-Based Outpatient Care for People With Dementia - The DemTab Study Protocol	manuscripts	GeroPsych	Most people with dementia (PwD) are treated on an outpatient basis, predominantly by general practitioners (GPs). This article provides a detailed protocol of a study aimed at developing and evaluating a tablet-based intervention to improve outpatient dementia care by fostering guideline-based treatment. A cluster-randomized controlled trial with an intervention group (tablet-based intervention) and a control group (treatment as usual plus information handbook) will be conducted. Clusters will be randomized at GP level. Primary outcome is defined as adherence to dementia guideline recommendations after 9 months. Secondary outcomes include various health outcomes assessed in PwD (e.g., quality of life) and informal caregivers (e.g., caregiver burden). Outcomes will be analyzed by an intention-to-treat analysis and using mixed models.	Lech, S., O’Sullivan, J. L., Gellert, P., Voigt-Antons, J.-N. & Nordheim J.	Lech, S., O’Sullivan, J. L., Gellert, P., Voigt-Antons, J.-N. & Nordheim J. (2019). Tablet-Based Outpatient Care for People With Dementia - The DemTab Study Protocol. GeroPsych, 32(3), 135-144, https://doi.org/10.1024/1662-9647/a000210	J14	https://doi.org/10.1024/1662-9647/a000210
